,year,male,male_d1,female,female_d1
1926-12-31,1926,56.089206935984485,-0.6559867860459576,58.84789679270425,-0.5975974675158824
1927-12-31,1927,57.459013528126206,1.369806592141721,60.371411989855815,1.5235151971515677
1928-12-31,1928,56.295096734688485,-1.1639167934377213,59.33617066651795,-1.0352413233378641
1929-12-31,1929,56.510608345348686,0.21551161066020086,59.67239201805373,0.3362213515357766
1930-12-31,1930,57.475429551674885,0.9648212063261994,60.82938998502264,1.156997966968909
1931-12-31,1931,58.08803559320436,0.6126060415294745,61.53662847496755,0.7072384899449133
1932-12-31,1932,58.96267166571508,0.8746360725107181,62.104342358998494,0.5677138840309439
1933-12-31,1933,59.09492567687335,0.13225401115827395,62.54488941726765,0.4405470582691535
1934-12-31,1934,58.369533942195076,-0.7253917346782757,62.19322976384446,-0.35165965342319083
1935-12-31,1935,58.937454817552926,0.5679208753578493,62.83447029727854,0.641240533434086
1936-12-31,1936,58.266710857345295,-0.6707439602076306,62.364774757566074,-0.46969553971246825
1937-12-31,1937,58.87963082718332,0.6129199698380248,63.09687266731647,0.7320979097503937
1938-12-31,1938,60.331721866014,1.4520910388306802,64.25367946776329,1.156806800446823
1939-12-31,1939,60.954025334199656,0.6223034681856561,64.92228994962593,0.6686104818626433
1940-12-31,1940,60.95033001320473,-0.0036953209949288635,65.24972704687089,0.3274370972449532
1941-12-31,1941,61.414583055480925,0.4642530422761979,65.96995485385688,0.7202278069859887
1942-12-31,1942,62.100377477893815,0.68579442241289,66.87327291761244,0.9033180637555631
1943-12-31,1943,61.762802609860906,-0.3375748680329096,66.61174027647948,-0.26153264113295904
1944-12-31,1944,62.19343649026654,0.43063388040563666,67.3327076115621,0.7209673350826193
1945-12-31,1945,62.38273600615046,0.18929951588391702,67.95590383456039,0.6231962229982884
1946-12-31,1946,63.76804134805815,1.3853053419076886,68.72572148884304,0.7698176542826474
1947-12-31,1947,64.08606203864511,0.3180206905869625,69.18984586760718,0.46412437876414003
1948-12-31,1948,64.35365152331903,0.26758948467391974,69.67036515095428,0.4805192833471068
1949-12-31,1949,64.77796217561523,0.42431065229619946,70.17280359862083,0.5024384476665489
1950-12-31,1950,65.14135600685003,0.3633938312348022,70.63809600606446,0.4652924074436271
1951-12-31,1951,65.17404666574059,0.032690658890558666,70.86514726443983,0.22705125837536855
1952-12-31,1952,65.28960329703573,0.11555663129513505,71.12596120915215,0.260813944712325
1953-12-31,1953,65.48805248664023,0.19844918960450286,71.49075711252748,0.36479590337532386
1954-12-31,1954,66.25409225538479,0.7660397687445624,72.2539640740905,0.7632069615630286
1955-12-31,1955,66.22918927356544,-0.02490298181935202,72.32204169699322,0.06807762290272024
1956-12-31,1956,66.24171097231937,0.012521698753928945,72.45233763299231,0.1302959359990865
1957-12-31,1957,65.9774579079231,-0.2642530643962715,72.23901575665178,-0.21332187634052957
1958-12-31,1958,66.14743101909528,0.16997311117218317,72.4299476052389,0.19093184858711254
1959-12-31,1959,66.30724393884269,0.1598129197474094,72.75029307220306,0.3203454669641701
1960-12-31,1960,66.17288163189194,-0.1343623069507487,72.7518465921119,0.0015535199088390073
1961-12-31,1961,66.58529349553186,0.41241186363991744,73.14051510649821,0.38866851438631045
1962-12-31,1962,66.40099407791391,-0.1842994176179502,73.01049571494995,-0.13001939154825948
1963-12-31,1963,66.14958276194469,-0.2514113159692215,72.9245647702654,-0.08593094468454865
1964-12-31,1964,66.348814680979,0.19923191903431814,73.24973606285623,0.32517129259082367
1965-12-31,1965,66.29677544396256,-0.05203923701644442,73.3445605138169,0.09482445096067238
1966-12-31,1966,66.19700062539196,-0.09977481857059445,73.40361455780938,0.05905404399247516
1967-12-31,1967,66.46016523283106,0.2631646074390943,73.79391784499063,0.3903032871812542
1968-12-31,1968,66.12412181622442,-0.3360434166066426,73.71442563466113,-0.07949221032950504
1969-12-31,1969,66.39067883386069,0.2665570176362735,74.10093457537455,0.38650894071342634
1970-12-31,1970,66.65424969857877,0.26357086471807634,74.3711069383351,0.270172362960551
1971-12-31,1971,66.90493161650058,0.2506819179218098,74.5646308009113,0.1935238625761997
